rank,ip,count,rate,percent,burst_rate,burst_start
1,10.42.63.19,76978,0.0508,99.99%,0.9500,1510.707
2,36.155.209.51,72418,0.0478,94.07%,0.9500,1510.707
3,36.151.54.79,2320,0.0015,3.01%,0.1200,44.973
4,183.194.237.51,805,0.0005,1.05%,0.1600,52.069
5,36.155.220.17,596,0.0004,0.77%,0.1100,975.262
6,183.194.189.203,321,0.0002,0.42%,0.0400,103.164
7,120.232.27.228,120,0.0001,0.16%,0.0300,7.938
8,36.155.163.65,119,0.0001,0.15%,0.0300,20.807
9,111.30.183.207,119,0.0001,0.15%,0.0300,20.807
10,111.10.17.149,119,0.0001,0.15%,0.0300,20.807
