rank,ip,count,rate,percent,burst_rate,burst_start
1,10.36.255.196,59,0.0060,100.00%,0.1900,36.904
2,116.31.67.152,22,0.0022,37.29%,0.0200,38.997
3,223.160.118.68,18,0.0018,30.51%,0.1800,36.905
4,239.255.255.250,4,0.0004,6.78%,0.0200,36.795
5,119.147.35.210,4,0.0004,6.78%,0.0200,39.244
6,60.29.240.189,2,0.0002,3.39%,0.0200,38.998
7,183.232.84.191,2,0.0002,3.39%,0.0200,38.999
8,120.233.43.167,2,0.0002,3.39%,0.0200,36.721
9,117.144.244.226,2,0.0002,3.39%,0.0200,36.724
10,111.32.207.120,2,0.0002,3.39%,0.0200,36.723
