rank,ip,count,rate,percent,burst_rate,burst_start
1,10.36.199.110,347292,0.1412,100.00%,2.5100,2231.557
2,183.215.49.22,286865,0.1166,82.60%,2.5000,2231.557
3,183.215.49.96,48879,0.0199,14.07%,1.0100,511.363
4,39.156.125.75,3806,0.0015,1.10%,0.0900,33.788
5,112.49.56.107,3451,0.0014,0.99%,0.2100,873.610
6,175.178.30.199,1933,0.0008,0.56%,0.6300,9.531
7,81.69.145.161,1298,0.0005,0.37%,0.3100,886.341
8,124.223.125.213,168,0.0001,0.05%,0.4400,32.095
9,36.151.209.151,101,0.0000,0.03%,0.0300,872.411
10,120.223.250.157,101,0.0000,0.03%,0.0300,878.612
