rank,ip,count,rate,percent,burst_rate,burst_start
1,10.19.11.109,221183,0.1134,100.00%,5.5700,811.736
2,42.187.184.206,216504,0.1110,97.88%,5.5100,811.738
3,39.156.125.75,2859,0.0015,1.29%,0.0600,93.313
4,101.35.76.132,865,0.0004,0.39%,0.2200,99.123
5,52.231.114.183,431,0.0002,0.19%,0.1000,495.691
6,111.10.12.192,100,0.0001,0.05%,0.0300,1925.467
7,221.178.59.70,99,0.0001,0.04%,0.0300,1915.948
8,111.62.154.58,99,0.0001,0.04%,0.0300,1913.617
9,120.53.85.25,83,0.0000,0.04%,0.3000,1068.212
10,110.40.162.240,44,0.0000,0.02%,0.1000,275.885
