rank,ip,count,rate,percent,burst_rate,burst_start
1,10.139.14.220,679867,0.2433,100.00%,5.0500,1747.851
2,120.221.179.98,671977,0.2405,98.84%,5.0500,1747.851
3,117.185.255.89,4101,0.0015,0.60%,0.0600,13.275
4,36.155.244.171,1453,0.0005,0.21%,0.2700,2686.274
5,81.69.216.91,1183,0.0004,0.17%,0.2800,13.345
6,42.194.252.235,551,0.0002,0.08%,0.4900,0.378
7,52.231.114.183,147,0.0001,0.02%,0.0100,0.648
8,36.155.197.165,102,0.0000,0.02%,0.0500,2698.886
9,111.42.196.187,101,0.0000,0.01%,0.0300,2700.507
10,120.221.179.82,96,0.0000,0.01%,0.0400,2687.651
