rank,ip,count,rate,percent,burst_rate,burst_start
1,10.32.153.75,52984,0.0389,99.99%,1.0600,566.136
2,36.155.220.18,45773,0.0336,86.38%,0.7200,199.811
3,111.51.150.192,5323,0.0039,10.05%,0.3100,566.137
4,183.194.190.204,443,0.0003,0.84%,0.0500,143.659
5,221.181.81.139,263,0.0002,0.50%,0.0400,199.974
6,36.155.209.52,258,0.0002,0.49%,0.2800,805.920
7,36.155.163.65,180,0.0001,0.34%,0.0200,0.925
8,120.232.24.98,180,0.0001,0.34%,0.0200,0.925
9,111.31.240.184,180,0.0001,0.34%,0.0200,0.925
10,111.10.17.149,180,0.0001,0.34%,0.0200,0.925
