rank,ip,count,rate,percent,burst_rate,burst_start
1,10.41.68.46,56385,0.0438,99.99%,0.6600,38.429
2,36.155.199.42,52702,0.0410,93.46%,0.6500,97.827
3,120.222.225.153,2086,0.0016,3.70%,0.1700,39.049
4,183.194.237.51,702,0.0005,1.24%,0.1400,44.265
5,183.194.189.203,385,0.0003,0.68%,0.0400,1224.559
6,36.155.163.65,119,0.0001,0.21%,0.0300,2.509
7,120.232.24.98,119,0.0001,0.21%,0.0300,2.520
8,111.31.240.184,119,0.0001,0.21%,0.0300,2.517
9,111.10.17.149,119,0.0001,0.21%,0.0300,2.520
10,183.194.207.203,27,0.0000,0.05%,0.0700,1271.454
