rank,ip,count,rate,percent,burst_rate,burst_start
1,10.40.143.247,8764,0.0050,100.00%,0.8400,1713.806
2,43.239.172.2,3429,0.0020,39.13%,0.1000,526.527
3,39.156.70.46,3278,0.0019,37.40%,0.0300,394.084
4,116.130.175.247,343,0.0002,3.91%,0.0700,43.023
5,112.60.22.23,260,0.0001,2.97%,0.0600,994.875
6,39.156.230.7,197,0.0001,2.25%,0.0900,1727.018
7,39.156.230.5,185,0.0001,2.11%,0.2400,93.526
8,39.135.70.82,169,0.0001,1.93%,0.8400,1713.806
9,39.156.159.59,109,0.0001,1.24%,0.2200,1713.035
10,39.156.160.103,103,0.0001,1.18%,0.0900,655.960
