rank,ip,count,rate,percent,burst_rate,burst_start
1,10.36.140.211,638874,0.3087,100.00%,7.1000,2009.644
2,120.221.179.32,634618,0.3066,99.33%,7.0900,2009.644
3,117.185.255.124,3030,0.0015,0.47%,0.0200,452.630
4,101.35.76.132,775,0.0004,0.12%,0.0900,2017.948
5,36.155.197.165,101,0.0000,0.02%,0.0400,2020.033
6,183.214.54.179,101,0.0000,0.02%,0.0300,2031.243
7,111.51.150.176,101,0.0000,0.02%,0.0400,2030.035
8,52.231.114.183,99,0.0000,0.02%,0.0200,1600.711
9,124.223.125.67,47,0.0000,0.01%,0.1600,1587.049
10,10.6.88.239,2,0.0000,0.00%,0.0200,621.451
