rank,ip,count,rate,percent,burst_rate,burst_start
1,10.33.143.175,65089,0.0484,99.99%,1.3200,954.544
2,36.155.199.156,60701,0.0452,93.25%,1.0400,954.544
3,36.151.54.79,2151,0.0016,3.30%,0.1600,29.801
4,36.155.199.46,772,0.0006,1.19%,0.2900,1117.853
5,183.194.190.204,511,0.0004,0.79%,0.0500,32.805
6,221.181.81.139,245,0.0002,0.38%,0.0400,89.211
7,183.194.237.51,192,0.0001,0.29%,0.1500,35.047
8,36.155.213.46,120,0.0001,0.18%,0.0200,1.051
9,120.232.24.98,120,0.0001,0.18%,0.0200,1.051
10,111.30.183.207,120,0.0001,0.18%,0.0200,1.051
