rank,ip,count,rate,percent,burst_rate,burst_start
1,10.78.12.4,44766,0.0445,99.99%,1.1900,839.984
2,221.178.66.26,41724,0.0414,93.19%,1.1600,839.984
3,120.222.225.148,1544,0.0015,3.45%,0.1800,17.867
4,183.194.190.204,390,0.0004,0.87%,0.0500,21.749
5,221.181.81.139,228,0.0002,0.51%,0.0500,805.064
6,221.178.70.43,219,0.0002,0.49%,0.3000,200.345
7,36.155.213.46,140,0.0001,0.31%,0.0200,0.974
8,120.232.27.228,140,0.0001,0.31%,0.0200,0.974
9,111.30.183.207,140,0.0001,0.31%,0.0200,0.974
10,111.10.17.149,140,0.0001,0.31%,0.0200,0.974
