rank,ip,count,rate,percent,burst_rate,burst_start
1,10.41.233.15,62,0.0061,100.00%,0.1900,2.681
2,111.32.207.207,22,0.0022,35.48%,0.0100,4.770
3,223.104.122.54,6,0.0006,9.68%,0.0600,2.689
4,223.104.122.46,6,0.0006,9.68%,0.0600,2.682
5,223.104.122.14,6,0.0006,9.68%,0.0600,2.685
6,157.148.56.152,5,0.0005,8.06%,0.0200,4.968
7,239.255.255.250,4,0.0004,6.45%,0.0200,2.563
8,111.33.167.252,4,0.0004,6.45%,0.0200,5.170
9,42.81.196.111,2,0.0002,3.23%,0.0100,4.767
10,183.232.84.37,2,0.0002,3.23%,0.0200,2.467
