rank,ip,count,rate,percent,burst_rate,burst_start
1,10.78.12.4,582154,0.3097,100.00%,2.9300,530.467
2,183.215.49.33,575259,0.3060,98.82%,2.9200,530.467
3,117.185.255.89,2824,0.0015,0.49%,0.0900,5.974
4,112.49.56.107,1335,0.0007,0.23%,0.2100,1819.619
5,81.69.145.161,900,0.0005,0.15%,0.3200,5.943
6,106.55.117.183,728,0.0004,0.13%,0.6100,0.527
7,124.223.125.67,208,0.0001,0.04%,0.3500,1.104
8,124.223.125.213,176,0.0001,0.03%,0.3900,1.617
9,36.158.247.110,101,0.0001,0.02%,0.0300,1825.273
10,36.158.247.102,101,0.0001,0.02%,0.0300,1818.811
