rank,ip,count,rate,percent,burst_rate,burst_start
1,10.1.32.129,214,0.0000,98.17%,0.1900,4305.127
2,60.29.240.224,33,0.0000,15.14%,0.0300,4308.514
3,111.33.138.225,33,0.0000,15.14%,0.0300,4308.491
4,42.81.196.220,32,0.0000,14.68%,0.0300,4308.495
5,116.130.226.168,20,0.0000,9.17%,0.0600,4310.584
6,113.108.26.218,20,0.0000,9.17%,0.0700,4310.556
7,111.33.167.249,19,0.0000,8.72%,0.0600,4310.544
8,183.215.49.199,10,0.0000,4.59%,0.0200,4788.308
9,183.215.49.209,9,0.0000,4.13%,0.0200,4768.200
10,183.215.49.146,7,0.0000,3.21%,0.0200,4768.201
