rank,ip,count,rate,percent,burst_rate,burst_start
1,10.161.151.11,92489,0.0504,100.00%,3.7800,1584.102
2,183.214.75.104,92430,0.0504,99.94%,3.7800,1584.102
3,111.30.169.196,22,0.0000,0.02%,0.0100,35.565
4,223.160.117.247,18,0.0000,0.02%,0.1800,33.477
5,239.255.255.250,4,0.0000,0.00%,0.0200,33.362
6,183.232.85.161,4,0.0000,0.00%,0.0100,35.869
7,42.81.196.38,2,0.0000,0.00%,0.0100,35.563
8,183.232.85.12,2,0.0000,0.00%,0.0100,33.220
9,163.177.91.144,2,0.0000,0.00%,0.0100,35.564
10,117.144.247.142,2,0.0000,0.00%,0.0100,33.221
