rank,ip,count,rate,percent,burst_rate,burst_start
1,10.27.129.202,509218,0.2293,100.00%,0.8900,1062.730
2,120.221.180.32,501651,0.2259,98.51%,0.8900,1062.730
3,117.185.255.124,3399,0.0015,0.67%,0.1500,45.352
4,36.155.240.148,1492,0.0007,0.29%,0.2100,2216.690
5,81.69.145.161,1021,0.0005,0.20%,0.3400,45.404
6,175.178.30.203,706,0.0003,0.14%,0.5800,29.572
7,124.223.125.213,276,0.0001,0.05%,0.3200,43.156
8,36.158.247.102,101,0.0000,0.02%,0.0300,2216.263
9,36.156.174.138,101,0.0000,0.02%,0.0300,2231.296
10,36.151.54.115,101,0.0000,0.02%,0.0300,2224.388
