rank,ip,count,rate,percent,burst_rate,burst_start
1,10.183.29.9,33546,0.0317,99.97%,0.7300,181.308
2,111.31.245.62,30729,0.0290,91.58%,0.7300,181.308
3,183.255.204.65,1208,0.0011,3.60%,0.2400,48.592
4,183.194.190.204,290,0.0003,0.86%,0.0500,52.439
5,111.33.110.17,264,0.0002,0.79%,0.1200,239.226
6,36.155.213.46,160,0.0002,0.48%,0.0300,2.664
7,120.232.27.228,160,0.0002,0.48%,0.0300,2.669
8,111.31.240.184,160,0.0002,0.48%,0.0300,2.669
9,111.10.17.149,160,0.0002,0.48%,0.0300,2.661
10,183.194.189.203,141,0.0001,0.42%,0.0600,182.705
