rank,ip,count,rate,percent,burst_rate,burst_start
1,10.36.199.110,8273,0.0043,100.00%,0.8500,197.827
2,43.239.172.1,3796,0.0020,45.88%,0.4800,197.827
3,39.156.70.46,3649,0.0019,44.11%,0.0800,197.827
4,36.155.230.28,384,0.0002,4.64%,0.1600,1434.776
5,39.156.160.96,264,0.0001,3.19%,0.1100,1877.649
6,36.155.169.128,34,0.0000,0.41%,0.1200,1910.192
7,43.239.172.2,24,0.0000,0.29%,0.0900,197.865
8,114.114.114.114,24,0.0000,0.29%,0.1600,197.827
9,120.255.7.9,23,0.0000,0.28%,0.0800,5.139
10,111.132.34.21,16,0.0000,0.19%,0.0500,104.449
