rank,ip,count,rate,percent,burst_rate,burst_start
1,10.32.29.99,4319,0.0022,99.91%,0.5000,1437.437
2,36.152.44.93,2114,0.0011,48.90%,0.0200,0.202
3,36.152.44.132,1592,0.0008,36.83%,0.0200,35.502
4,39.156.160.111,69,0.0000,1.60%,0.1000,1535.677
5,111.46.10.96,53,0.0000,1.23%,0.2500,699.099
6,120.233.19.99,48,0.0000,1.11%,0.1800,1437.397
7,120.233.17.222,47,0.0000,1.09%,0.2100,1437.439
8,120.241.139.215,46,0.0000,1.06%,0.1000,1437.346
9,120.255.0.0,40,0.0000,0.93%,0.1300,857.612
10,111.47.248.226,40,0.0000,0.93%,0.2100,1.412
