rank,ip,count,rate,percent,burst_rate,burst_start
1,10.40.56.171,291494,0.1351,96.75%,3.1800,71.062
2,183.215.49.96,123486,0.0572,40.98%,2.2200,1797.393
3,42.187.184.25,100505,0.0466,33.36%,0.6200,1020.497
4,183.215.49.122,48506,0.0225,16.10%,0.5600,351.711
5,116.163.21.32,12420,0.0058,4.12%,3.1700,71.062
6,10.19.178.132,9800,0.0045,3.25%,1.3300,5.003
7,42.187.184.109,7070,0.0033,2.35%,0.4100,631.857
8,117.185.255.124,2268,0.0011,0.75%,0.0700,704.696
9,20.189.79.72,1169,0.0005,0.39%,0.1200,1781.853
10,175.178.32.90,703,0.0003,0.23%,0.8200,0.578
