rank,ip,count,rate,percent,burst_rate,burst_start
1,10.1.54.9,53000,0.0406,99.99%,0.8600,60.769
2,111.33.110.15,23253,0.0178,43.87%,0.8300,60.769
3,111.33.110.19,13815,0.0106,26.06%,0.4500,898.483
4,111.33.125.70,11161,0.0085,21.06%,0.3200,1271.136
5,36.156.174.183,1910,0.0015,3.60%,0.1500,61.348
6,183.194.237.51,601,0.0005,1.13%,0.1200,66.733
7,111.33.125.26,428,0.0003,0.81%,0.1400,489.540
8,111.33.125.43,427,0.0003,0.81%,0.0800,486.312
9,111.31.245.66,261,0.0002,0.49%,0.1800,900.224
10,111.31.245.68,260,0.0002,0.49%,0.0700,721.667
