rank,ip,count,rate,percent,burst_rate,burst_start
1,10.36.118.88,75130,0.0439,99.99%,1.8000,724.730
2,221.178.66.31,69938,0.0408,93.08%,1.7000,724.730
3,183.255.34.152,2372,0.0014,3.16%,0.1600,149.920
4,221.178.70.31,913,0.0005,1.22%,0.1200,646.575
5,183.194.190.204,595,0.0003,0.79%,0.0400,152.794
6,183.194.189.203,379,0.0002,0.50%,0.0500,724.762
7,183.194.237.51,208,0.0001,0.28%,0.1400,155.053
8,36.155.163.65,153,0.0001,0.20%,0.0600,15.027
9,120.232.27.228,152,0.0001,0.20%,0.0400,15.095
10,111.30.183.207,152,0.0001,0.20%,0.0400,15.077
