rank,ip,count,rate,percent,burst_rate,burst_start
1,10.36.199.110,46653,0.0449,99.95%,0.9800,73.256
2,36.155.199.152,43800,0.0421,93.83%,0.9400,73.256
3,111.51.150.161,1644,0.0016,3.52%,0.1100,73.628
4,183.194.237.51,593,0.0006,1.27%,0.1600,78.814
5,221.181.81.139,222,0.0002,0.48%,0.0400,73.446
6,36.155.213.46,92,0.0001,0.20%,0.0200,67.969
7,120.232.27.228,92,0.0001,0.20%,0.0200,67.969
8,111.30.183.207,92,0.0001,0.20%,0.0200,68.169
9,111.10.17.149,92,0.0001,0.20%,0.0200,68.169
10,127.0.0.1,50,0.0000,0.11%,0.0400,45.504
