rank,ip,count,rate,percent,burst_rate,burst_start
1,10.41.233.15,59,0.0059,100.00%,0.2100,13.446
2,183.192.197.100,22,0.0022,37.29%,0.0200,15.655
3,223.104.122.168,12,0.0012,20.34%,0.1200,13.516
4,223.104.122.172,6,0.0006,10.17%,0.0600,13.528
5,239.255.255.250,4,0.0004,6.78%,0.0200,13.446
6,117.144.245.72,4,0.0004,6.78%,0.0200,15.922
7,183.232.86.164,2,0.0002,3.39%,0.0200,13.366
8,183.232.86.120,2,0.0002,3.39%,0.0200,13.366
9,111.161.67.84,2,0.0002,3.39%,0.0200,15.654
10,111.13.80.133,2,0.0002,3.39%,0.0200,13.365
