rank,ip,count,rate,percent,burst_rate,burst_start
1,10.161.151.11,35642,0.0427,99.99%,9.1300,124.898
2,221.178.70.26,33143,0.0397,92.98%,8.8400,124.898
3,120.222.225.161,1178,0.0014,3.30%,0.2000,124.899
4,183.194.190.204,314,0.0004,0.88%,0.0800,124.899
5,183.194.237.51,205,0.0002,0.58%,0.1300,72.266
6,43.137.25.62,188,0.0002,0.53%,0.1500,126.609
7,221.181.81.139,149,0.0002,0.42%,0.0400,130.883
8,36.155.213.46,110,0.0001,0.31%,0.0300,14.415
9,120.232.24.98,110,0.0001,0.31%,0.0200,1.218
10,111.31.240.184,110,0.0001,0.31%,0.0300,14.816
