rank,ip,count,rate,percent,burst_rate,burst_start
1,10.161.151.11,114477,0.0593,100.00%,5.5700,1305.169
2,120.233.76.122,66993,0.0347,58.52%,4.6400,1895.294
3,120.233.79.23,36139,0.0187,31.57%,5.5700,1305.169
4,120.233.76.143,8347,0.0043,7.29%,1.3500,1223.964
5,120.233.79.142,1549,0.0008,1.35%,1.3900,1370.152
6,120.233.79.124,1187,0.0006,1.04%,0.9300,1351.401
7,14.17.93.104,40,0.0000,0.03%,0.0600,28.302
8,223.104.122.170,36,0.0000,0.03%,0.1200,28.115
9,183.232.86.193,26,0.0000,0.02%,0.1200,28.325
10,116.130.175.63,26,0.0000,0.02%,0.1200,28.337
