rank,ip,count,rate,percent,burst_rate,burst_start
1,10.138.192.147,1189,0.0018,100.00%,0.8600,1.039
2,39.155.32.205,231,0.0003,19.43%,0.4900,601.120
3,39.155.32.208,230,0.0003,19.34%,0.4400,1.039
4,39.155.10.121,224,0.0003,18.84%,0.4300,1.033
5,153.101.166.210,163,0.0002,13.71%,0.3600,0.253
6,218.26.115.21,133,0.0002,11.19%,0.0500,0.134
7,120.213.136.237,100,0.0002,8.41%,0.1900,600.390
8,42.81.196.220,22,0.0000,1.85%,0.0200,19.980
9,117.144.227.71,21,0.0000,1.77%,0.0200,19.982
10,36.158.240.81,19,0.0000,1.60%,0.0300,600.076
