rank,ip,count,rate,percent,burst_rate,burst_start
1,10.7.39.178,39440,0.0405,99.99%,1.7200,613.178
2,36.155.223.175,36042,0.0370,91.37%,1.5800,613.178
3,120.222.225.139,1426,0.0015,3.62%,0.1500,56.517
4,36.155.199.150,816,0.0008,2.07%,0.2900,613.443
5,183.194.190.204,358,0.0004,0.91%,0.0500,59.344
6,221.181.81.139,211,0.0002,0.53%,0.0400,116.811
7,111.30.183.207,114,0.0001,0.29%,0.0600,43.794
8,111.10.17.149,114,0.0001,0.29%,0.0500,43.792
9,36.155.213.46,113,0.0001,0.29%,0.0600,43.798
10,120.232.27.228,112,0.0001,0.28%,0.0500,43.798
