rank,ip,count,rate,percent,burst_rate,burst_start
1,10.161.151.11,34961,0.0408,99.99%,0.8600,214.513
2,120.232.22.159,32451,0.0379,92.81%,0.8300,214.513
3,183.255.34.152,1267,0.0015,3.62%,0.2000,25.510
4,183.194.190.204,308,0.0004,0.88%,0.0400,28.618
5,81.69.54.177,199,0.0002,0.57%,0.1000,31.081
6,221.181.81.139,155,0.0002,0.44%,0.0400,89.474
7,36.155.163.65,140,0.0002,0.40%,0.0400,9.585
8,120.232.27.228,140,0.0002,0.40%,0.0400,9.603
9,111.10.17.149,140,0.0002,0.40%,0.0300,9.605
10,111.30.183.207,139,0.0002,0.40%,0.0300,9.612
