rank,ip,count,rate,percent,burst_rate,burst_start
1,10.21.139.155,25249,0.0339,99.98%,0.5200,59.622
2,111.33.125.42,22976,0.0309,90.98%,0.5100,59.622
3,36.151.54.97,1045,0.0014,4.14%,0.2200,44.416
4,183.194.190.204,264,0.0004,1.05%,0.0300,47.153
5,183.194.237.51,239,0.0003,0.95%,0.1600,50.727
6,120.232.27.228,139,0.0002,0.55%,0.0700,141.316
7,221.178.13.60,138,0.0002,0.55%,0.0500,141.316
8,36.155.163.65,137,0.0002,0.54%,0.0400,141.316
9,183.194.189.203,136,0.0002,0.54%,0.0400,198.987
10,111.31.240.184,136,0.0002,0.54%,0.0300,81.116
