rank,ip,count,rate,percent,burst_rate,burst_start
1,10.16.120.200,37043,0.0270,99.97%,2.2600,26.376
2,221.178.66.26,31904,0.0233,86.10%,0.7100,744.674
3,120.222.225.148,1351,0.0010,3.65%,0.1100,500.876
4,36.133.212.212,1305,0.0010,3.52%,1.8700,26.376
5,36.161.123.166,528,0.0004,1.42%,0.4200,26.341
6,183.194.190.204,330,0.0002,0.89%,0.0400,503.881
7,183.194.237.51,227,0.0002,0.61%,0.1400,507.414
8,36.150.225.132,189,0.0001,0.51%,0.0200,453.049
9,221.181.81.139,186,0.0001,0.50%,0.0400,561.012
10,120.232.24.98,120,0.0001,0.32%,0.0300,10.055
