rank,ip,count,rate,percent,burst_rate,burst_start
1,10.21.139.155,30557,0.0348,99.98%,0.7700,825.341
2,36.155.199.152,28074,0.0320,91.86%,0.7700,825.341
3,112.48.233.174,1241,0.0014,4.06%,0.1500,47.040
4,183.194.190.204,322,0.0004,1.05%,0.0400,50.059
5,183.194.237.51,213,0.0002,0.70%,0.1300,52.423
6,120.232.24.98,137,0.0002,0.45%,0.0400,838.143
7,36.155.213.46,135,0.0002,0.44%,0.0300,2.636
8,111.30.183.207,135,0.0002,0.44%,0.0300,2.652
9,111.10.17.149,135,0.0002,0.44%,0.0300,2.632
10,183.194.189.203,123,0.0001,0.40%,0.0400,181.542
