rank,ip,count,rate,percent,burst_rate,burst_start
1,10.5.236.143,58001,0.0367,99.99%,0.9500,98.346
2,36.155.199.39,54048,0.0342,93.17%,0.9400,98.346
3,183.255.204.80,2288,0.0014,3.94%,0.1500,39.199
4,183.194.190.204,567,0.0004,0.98%,0.0500,42.387
5,183.194.189.203,271,0.0002,0.47%,0.0400,98.477
6,36.155.163.65,159,0.0001,0.27%,0.0300,1507.504
7,120.232.27.228,159,0.0001,0.27%,0.0300,1507.509
8,111.30.183.207,159,0.0001,0.27%,0.0200,0.988
9,111.10.17.149,159,0.0001,0.27%,0.0300,1507.509
10,183.194.237.51,157,0.0001,0.27%,0.1400,44.644
