rank,ip,count,rate,percent,burst_rate,burst_start
1,10.0.169.178,52676,0.0444,99.99%,1.7500,125.943
2,36.155.220.20,48605,0.0410,92.26%,1.6100,125.943
3,36.156.174.177,1816,0.0015,3.45%,0.1700,114.663
4,36.155.209.54,890,0.0007,1.69%,0.0800,70.437
5,183.194.190.204,466,0.0004,0.88%,0.0900,114.900
6,183.194.189.203,324,0.0003,0.62%,0.0400,115.449
7,111.10.17.149,114,0.0001,0.22%,0.0400,114.900
8,120.232.24.98,113,0.0001,0.21%,0.0300,114.896
9,111.30.183.207,113,0.0001,0.21%,0.0300,114.900
10,36.155.213.46,112,0.0001,0.21%,0.0300,14.675
