rank,ip,count,rate,percent,burst_rate,burst_start
1,10.32.29.99,55951,0.0442,99.99%,0.8100,149.330
2,36.155.209.51,52495,0.0415,93.81%,0.8000,149.330
3,111.51.150.161,2003,0.0016,3.58%,0.1700,24.198
4,183.194.237.51,522,0.0004,0.93%,0.1700,29.226
5,221.181.81.139,358,0.0003,0.64%,0.0400,149.481
6,36.155.163.65,138,0.0001,0.25%,0.0300,1.480
7,120.232.27.228,137,0.0001,0.24%,0.0300,1.501
8,111.31.240.184,137,0.0001,0.24%,0.0300,1.491
9,111.10.17.149,137,0.0001,0.24%,0.0300,1.491
10,183.194.207.203,16,0.0000,0.03%,0.0700,1235.738
