rank,ip,count,rate,percent,burst_rate,burst_start
1,10.24.143.250,647029,0.1590,100.00%,1.3800,1488.370
2,111.22.250.108,635725,0.1562,98.25%,1.3700,1488.370
3,117.185.255.124,6104,0.0015,0.94%,0.0600,32.973
4,101.35.76.132,1651,0.0004,0.26%,0.2600,32.302
5,120.226.166.146,1546,0.0004,0.24%,0.2100,3992.662
6,106.55.117.183,952,0.0002,0.15%,0.6900,0.856
7,124.223.125.213,449,0.0001,0.07%,0.4800,0.952
8,20.189.79.72,139,0.0000,0.02%,0.0100,33.967
9,36.156.174.130,101,0.0000,0.02%,0.0300,4005.176
10,36.155.197.115,101,0.0000,0.02%,0.0400,4003.656
