rank,ip,count,rate,percent,burst_rate,burst_start
1,10.161.151.11,347183,0.1863,100.00%,3.5800,161.797
2,183.215.49.25,340353,0.1826,98.03%,3.5600,161.797
3,39.156.125.75,2842,0.0015,0.82%,0.0900,24.983
4,120.226.166.146,1405,0.0008,0.40%,0.1400,23.479
5,81.69.216.91,1001,0.0005,0.29%,0.2500,25.080
6,175.178.30.199,763,0.0004,0.22%,0.5400,16.685
7,20.189.79.72,432,0.0002,0.12%,0.0300,1111.851
8,124.223.125.67,240,0.0001,0.07%,0.3300,16.516
9,221.178.59.89,66,0.0000,0.02%,0.0300,1843.037
10,110.40.162.147,48,0.0000,0.01%,0.0900,615.849
