rank,ip,count,rate,percent,burst_rate,burst_start
1,183.215.49.25,508459,0.2814,98.87%,0.9700,620.009
2,10.0.249.182,272885,0.1510,53.06%,0.9600,885.590
3,10.4.105.254,86868,0.0481,16.89%,0.9900,586.570
4,10.1.202.5,83892,0.0464,16.31%,0.6000,463.676
5,10.1.54.9,70620,0.0391,13.73%,0.7400,7.307
6,39.156.125.75,2801,0.0016,0.54%,0.1000,6.815
7,81.69.87.243,634,0.0004,0.12%,0.2400,7.082
8,175.178.30.20,601,0.0003,0.12%,0.6900,0.735
9,81.69.216.91,472,0.0003,0.09%,0.2100,886.065
10,175.178.32.21,196,0.0001,0.04%,0.6000,586.555
