rank,ip,count,rate,percent,burst_rate,burst_start
1,10.161.151.11,25888,0.0345,99.98%,0.7100,410.784
2,221.178.66.158,23736,0.0316,91.67%,0.6800,410.784
3,36.151.54.30,870,0.0012,3.36%,0.1200,30.353
4,183.194.190.204,242,0.0003,0.93%,0.0300,33.449
5,221.181.81.139,190,0.0003,0.73%,0.0300,150.616
6,183.194.237.51,186,0.0002,0.72%,0.1100,35.813
7,36.155.163.65,160,0.0002,0.62%,0.0300,2.849
8,120.232.27.228,160,0.0002,0.62%,0.0300,2.849
9,111.30.183.207,160,0.0002,0.62%,0.0300,2.849
10,111.10.17.149,160,0.0002,0.62%,0.0300,2.849
