rank,ip,count,rate,percent,burst_rate,burst_start
1,10.139.14.220,59,0.0000,71.95%,0.1900,7589.025
2,10.140.176.74,23,0.0000,28.05%,0.1000,38.847
3,42.81.196.36,22,0.0000,26.83%,0.0200,7591.110
4,223.104.121.22,18,0.0000,21.95%,0.1800,7589.026
5,36.155.240.148,13,0.0000,15.85%,0.1000,38.847
6,101.35.76.132,10,0.0000,12.20%,0.0300,30.054
7,239.255.255.250,4,0.0000,4.88%,0.0200,7588.909
8,116.31.66.94,4,0.0000,4.88%,0.0200,7591.365
9,183.192.199.144,2,0.0000,2.44%,0.0200,7588.828
10,157.148.53.113,2,0.0000,2.44%,0.0200,7591.110
