rank,ip,count,rate,percent,burst_rate,burst_start
1,10.4.218.4,339038,0.1439,100.00%,0.9000,2269.098
2,183.215.49.148,329115,0.1397,97.07%,0.9000,2269.098
3,39.156.140.86,3566,0.0015,1.05%,0.1000,103.934
4,36.158.243.191,1424,0.0006,0.42%,0.2100,2327.098
5,120.53.74.170,1074,0.0005,0.32%,0.2500,182.596
6,112.49.56.107,867,0.0004,0.26%,0.1900,104.805
7,106.55.117.115,769,0.0003,0.23%,0.5100,182.801
8,175.178.32.21,648,0.0003,0.19%,0.4300,103.819
9,124.223.125.67,400,0.0002,0.12%,0.4300,175.164
10,111.22.250.15,393,0.0002,0.12%,0.1700,104.595
