rank,ip,count,rate,percent,burst_rate,burst_start
1,10.0.222.231,252395,0.1478,100.00%,0.5700,16.734
2,183.215.49.192,246864,0.1445,97.81%,0.5700,883.743
3,117.185.255.124,2605,0.0015,1.03%,0.1500,18.584
4,36.158.243.191,1246,0.0007,0.49%,0.2300,18.583
5,101.35.76.132,840,0.0005,0.33%,0.2400,18.814
6,124.223.125.67,155,0.0001,0.06%,0.4000,13.708
7,36.158.247.110,101,0.0001,0.04%,0.0400,1667.117
8,183.215.54.121,101,0.0001,0.04%,0.0300,1668.396
9,120.223.250.182,101,0.0001,0.04%,0.0300,1675.116
10,81.69.145.60,47,0.0000,0.02%,0.1200,12.864
