rank,ip,count,rate,percent,burst_rate,burst_start
1,10.161.151.11,25335,0.0395,99.98%,0.5400,106.205
2,111.31.245.16,23390,0.0364,92.30%,0.5300,106.205
3,36.151.54.61,994,0.0015,3.92%,0.1600,42.144
4,183.194.190.204,244,0.0004,0.96%,0.0500,44.866
5,221.181.81.139,140,0.0002,0.55%,0.0400,106.357
6,36.155.163.65,120,0.0002,0.47%,0.0200,13.079
7,120.232.24.98,120,0.0002,0.47%,0.0200,13.079
8,111.31.240.184,120,0.0002,0.47%,0.0200,13.079
9,111.10.17.149,120,0.0002,0.47%,0.0200,13.079
10,43.137.59.97,51,0.0001,0.20%,0.1000,69.228
