rank,ip,count,rate,percent,burst_rate,burst_start
1,10.1.32.129,175813,0.0907,100.00%,2.1500,642.283
2,36.151.209.25,172487,0.0890,98.11%,2.1500,642.283
3,36.151.209.29,2632,0.0014,1.50%,1.6600,227.011
4,223.104.122.118,288,0.0001,0.16%,0.5600,22.914
5,223.104.122.102,216,0.0001,0.12%,0.4200,22.914
6,10.102.6.178,36,0.0000,0.02%,0.0700,22.914
7,157.148.51.149,30,0.0000,0.02%,0.0800,51.098
8,111.32.207.134,30,0.0000,0.02%,0.0800,51.098
9,42.81.237.25,28,0.0000,0.02%,0.0800,51.098
10,36.151.209.192,10,0.0000,0.01%,0.0200,202.604
