rank,ip,count,rate,percent,burst_rate,burst_start
1,10.161.151.11,334435,0.1814,100.00%,9.3200,1753.555
2,42.187.184.25,133147,0.0722,39.81%,4.6500,790.741
3,109.244.170.197,110185,0.0598,32.95%,6.1700,413.592
4,111.22.250.58,57967,0.0314,17.33%,3.3600,1500.553
5,183.215.49.216,28204,0.0153,8.43%,9.3100,1753.555
6,39.156.140.86,2780,0.0015,0.83%,0.0800,24.592
7,81.69.87.243,1227,0.0007,0.37%,0.2500,24.750
8,20.189.79.72,697,0.0004,0.21%,0.1300,790.747
9,43.137.25.80,61,0.0000,0.02%,0.0900,1833.045
10,111.62.154.72,52,0.0000,0.02%,0.0300,1827.297
