rank,ip,count,rate,percent,burst_rate,burst_start
1,36.155.209.52,16645,0.0129,36.05%,0.4000,1171.154
2,36.155.209.51,15742,0.0122,34.09%,0.2900,793.940
3,10.35.54.131,6924,0.0054,15.00%,0.4600,317.586
4,10.33.62.31,6798,0.0053,14.72%,0.2800,446.810
5,10.33.243.177,6302,0.0049,13.65%,0.2900,793.940
6,10.2.199.242,5526,0.0043,11.97%,0.2900,931.796
7,10.2.59.79,5458,0.0042,11.82%,0.4400,585.848
8,36.155.220.17,5455,0.0042,11.81%,1.0900,221.151
9,36.155.220.18,5339,0.0041,11.56%,0.2200,1053.851
10,10.40.186.220,4708,0.0037,10.20%,0.2800,1054.071
