rank,ip,count,rate,percent,burst_rate,burst_start
1,10.46.26.89,212732,0.1037,71.35%,2.7300,619.665
2,42.187.184.109,208750,0.1018,70.01%,2.7300,619.665
3,10.44.208.73,85421,0.0417,28.65%,1.3900,1805.934
4,111.22.250.108,84406,0.0412,28.31%,1.3900,1805.934
5,39.156.140.86,3153,0.0015,1.06%,0.0700,57.060
6,81.69.87.243,778,0.0004,0.26%,0.1900,58.081
7,120.53.67.225,392,0.0002,0.13%,0.3300,58.932
8,20.189.79.72,251,0.0001,0.08%,0.0400,237.328
9,111.42.180.50,78,0.0000,0.03%,0.0700,2036.397
10,43.137.59.198,27,0.0000,0.01%,0.0400,50.453
