rank,ip,count,rate,percent,burst_rate,burst_start
1,10.55.246.46,674639,0.3262,100.00%,4.1600,1376.955
2,120.221.179.107,669365,0.3237,99.22%,4.1600,1376.955
3,117.185.255.124,2995,0.0014,0.44%,0.0300,1645.949
4,36.155.244.171,825,0.0004,0.12%,0.2500,1997.189
5,101.35.76.132,778,0.0004,0.12%,0.0700,1997.010
6,175.178.32.90,194,0.0001,0.03%,0.1500,1999.110
7,111.62.154.20,102,0.0000,0.02%,0.0500,1999.966
8,111.31.19.228,102,0.0000,0.02%,0.0500,2016.796
9,183.214.54.48,101,0.0000,0.01%,0.0400,2010.504
10,52.231.114.183,70,0.0000,0.01%,0.0100,686.207
