rank,ip,count,rate,percent,burst_rate,burst_start
1,10.161.151.11,32795,0.0396,99.98%,0.6700,810.623
2,36.155.199.152,30535,0.0369,93.09%,0.6700,810.623
3,221.178.59.84,1215,0.0015,3.70%,0.1400,42.990
4,183.194.190.204,320,0.0004,0.98%,0.0400,45.897
5,221.181.81.139,166,0.0002,0.51%,0.0400,106.662
6,111.31.240.184,120,0.0001,0.37%,0.0300,20.187
7,36.155.163.65,118,0.0001,0.36%,0.0300,20.187
8,120.232.27.228,118,0.0001,0.36%,0.0300,20.187
9,111.10.17.149,118,0.0001,0.36%,0.0200,13.610
10,183.194.237.51,61,0.0001,0.19%,0.1600,48.231
