rank,ip,count,rate,percent,burst_rate,burst_start
1,10.21.139.155,44333,0.0350,99.98%,1.4300,994.691
2,111.31.245.66,40768,0.0322,91.94%,1.3600,994.691
3,39.175.114.212,1773,0.0014,4.00%,0.1300,77.336
4,183.194.237.51,671,0.0005,1.51%,0.1400,83.852
5,221.181.81.139,550,0.0004,1.24%,0.0400,192.476
6,111.30.183.207,135,0.0001,0.30%,0.0300,24.447
7,36.155.163.65,134,0.0001,0.30%,0.0300,24.447
8,221.178.13.60,134,0.0001,0.30%,0.0300,24.447
9,120.232.24.98,132,0.0001,0.30%,0.0400,36.845
10,183.194.207.203,16,0.0000,0.04%,0.0700,1229.245
