rank,ip,count,rate,percent,burst_rate,burst_start
1,10.35.35.145,1472,0.0024,100.00%,1.0300,597.966
2,223.160.116.186,1260,0.0020,85.60%,0.9800,597.966
3,10.42.147.92,70,0.0001,4.76%,0.0500,591.531
4,42.81.185.35,30,0.0000,2.04%,0.1000,619.735
5,117.144.246.101,30,0.0000,2.04%,0.1000,619.735
6,111.161.68.153,30,0.0000,2.04%,0.1000,619.735
7,183.232.85.163,12,0.0000,0.82%,0.0100,576.327
8,183.232.85.121,12,0.0000,0.82%,0.0100,576.326
9,117.185.249.100,12,0.0000,0.82%,0.0100,576.329
10,203.107.6.88,6,0.0000,0.41%,0.0200,0.000
