rank,ip,count,rate,percent,burst_rate,burst_start
1,10.36.199.110,85,0.0014,100.00%,0.2100,50.290
2,183.47.112.159,22,0.0004,25.88%,0.0200,52.494
3,223.104.119.116,18,0.0003,21.18%,0.1800,50.358
4,120.241.70.212,7,0.0001,8.24%,0.0300,23.860
5,36.158.243.191,6,0.0001,7.06%,0.0400,0.000
6,36.150.103.30,5,0.0001,5.88%,0.0300,23.863
7,42.81.196.201,4,0.0001,4.71%,0.0200,52.753
8,239.255.255.250,4,0.0001,4.71%,0.0200,50.290
9,81.69.87.243,2,0.0000,2.35%,0.0200,23.759
10,36.158.240.18,2,0.0000,2.35%,0.0200,24.923
