rank,ip,count,rate,percent,burst_rate,burst_start
1,10.161.151.11,368720,0.1890,100.00%,8.1500,1177.617
2,36.156.174.130,307247,0.1575,83.33%,8.0800,1177.617
3,183.215.49.74,52860,0.0271,14.34%,2.2400,257.955
4,39.156.125.75,2985,0.0015,0.81%,0.1100,22.433
5,120.226.166.146,1811,0.0009,0.49%,0.2100,16.647
6,183.215.49.47,1140,0.0006,0.31%,0.3200,1907.515
7,81.69.87.243,1012,0.0005,0.27%,0.3500,21.939
8,175.178.32.90,638,0.0003,0.17%,0.6500,12.211
9,20.189.79.72,502,0.0003,0.14%,0.0900,752.478
10,43.137.25.80,210,0.0001,0.06%,0.0900,0.071
