rank,ip,count,rate,percent,burst_rate,burst_start
1,10.47.142.158,59,0.0060,100.00%,0.1900,42.742
2,117.144.245.68,22,0.0022,37.29%,0.0200,44.793
3,223.160.118.125,18,0.0018,30.51%,0.1800,42.743
4,239.255.255.250,4,0.0004,6.78%,0.0200,42.589
5,111.32.207.58,4,0.0004,6.78%,0.0200,45.060
6,60.29.240.194,2,0.0002,3.39%,0.0200,44.791
7,183.232.84.172,2,0.0002,3.39%,0.0200,42.510
8,14.215.29.165,2,0.0002,3.39%,0.0200,44.790
9,117.185.247.224,2,0.0002,3.39%,0.0200,42.511
10,111.33.138.233,2,0.0002,3.39%,0.0200,42.513
