rank,ip,count,rate,percent,burst_rate,burst_start
1,10.36.140.211,4204,0.0023,100.00%,0.2900,1825.159
2,39.156.70.239,2069,0.0011,49.22%,0.0300,276.126
3,39.156.70.46,1370,0.0007,32.59%,0.0200,1081.996
4,39.156.160.96,113,0.0001,2.69%,0.1200,863.949
5,120.222.255.56,87,0.0000,2.07%,0.2100,1794.059
6,39.156.233.130,65,0.0000,1.55%,0.1400,1046.739
7,39.156.230.7,56,0.0000,1.33%,0.1300,1499.959
8,120.220.201.236,44,0.0000,1.05%,0.2200,213.639
9,120.220.50.143,40,0.0000,0.95%,0.2500,1825.159
10,120.222.255.57,37,0.0000,0.88%,0.1800,169.095
