rank,ip,count,rate,percent,burst_rate,burst_start
1,10.160.80.231,40931,0.0382,99.98%,0.6400,136.699
2,111.33.125.72,38264,0.0357,93.47%,0.6300,136.699
3,36.151.54.97,1491,0.0014,3.64%,0.1300,94.652
4,183.194.237.51,393,0.0004,0.96%,0.0500,94.803
5,221.181.81.139,182,0.0002,0.44%,0.0400,137.555
6,36.155.213.46,115,0.0001,0.28%,0.0400,90.728
7,120.232.24.98,115,0.0001,0.28%,0.0400,90.816
8,111.10.17.149,115,0.0001,0.28%,0.0500,90.728
9,111.31.240.184,114,0.0001,0.28%,0.0300,90.732
10,101.91.33.57,111,0.0001,0.27%,0.1500,97.078
