rank,ip,count,rate,percent,burst_rate,burst_start
1,10.47.26.248,64284,0.0424,99.99%,4.9500,485.995
2,36.155.209.54,57564,0.0380,89.54%,3.8300,485.859
3,120.222.225.148,1601,0.0011,2.49%,0.1300,487.262
4,36.155.220.20,1185,0.0008,1.84%,0.1800,343.289
5,183.194.237.51,713,0.0005,1.11%,0.5400,485.995
6,120.222.225.139,585,0.0004,0.91%,0.2900,485.995
7,109.244.227.77,566,0.0004,0.88%,0.1500,485.998
8,180.110.152.15,553,0.0004,0.86%,0.0600,485.998
9,112.80.250.116,552,0.0004,0.86%,0.0600,489.465
10,221.181.81.139,401,0.0003,0.62%,0.1000,494.520
