rank,ip,count,rate,percent,burst_rate,burst_start
1,192.168.43.148,27264,0.0364,100.91%,1.5100,12.304
2,36.155.199.39,24613,0.0329,91.10%,0.7200,38.136
3,112.48.233.174,1095,0.0015,4.05%,0.1100,697.530
4,183.194.190.204,266,0.0004,0.98%,0.0400,48.697
5,36.155.213.46,120,0.0002,0.44%,0.0300,21.895
6,120.232.27.228,120,0.0002,0.44%,0.0300,21.895
7,111.30.183.207,120,0.0002,0.44%,0.0200,13.427
8,111.10.17.149,120,0.0002,0.44%,0.0300,21.895
9,183.194.189.203,118,0.0002,0.44%,0.0400,102.820
10,183.194.237.51,100,0.0001,0.37%,0.1400,181.835
