rank,ip,count,rate,percent,burst_rate,burst_start
1,10.78.12.4,70911,0.0455,99.99%,1.0200,143.881
2,111.33.110.28,66181,0.0424,93.32%,1.0100,143.881
3,36.156.174.183,2493,0.0016,3.52%,0.1600,17.504
4,183.194.190.204,616,0.0004,0.87%,0.0500,21.409
5,111.33.125.56,592,0.0004,0.83%,0.0700,22.100
6,183.194.189.203,346,0.0002,0.49%,0.0500,144.127
7,36.155.213.46,140,0.0001,0.20%,0.0200,1.008
8,120.232.27.228,140,0.0001,0.20%,0.0200,1.008
9,111.31.240.184,140,0.0001,0.20%,0.0200,1.008
10,111.10.17.149,140,0.0001,0.20%,0.0200,1.008
